,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
1094,-15161,-4066,-4060,-102290,27209,-4383,-62404,40988,-16844,-90834,27683,16755,-38915,4891,-30077,-18444,12454,25236,-24321,19379,-30834,-35450,2660,14146,-920,20688,-15529,-19270,-12024,401,-5523,3263,5598,-32828,28886,20339,26427,20598,7972,-35316,17295,5697,9669,-6735,-14838,327,18069,-14926,-20148,17558,-4645,2258,28796,16955,-32599,17020,-42279,-14810,56313,11240,-32445,35843,-41123,-21612,40627,-35549,-52740,47605,-23425,-8421,8325,-8442,-33016,-7399,-23728,11282,-11229,-42481,-24177,3778,-10084,-8273,-3467,-4179,-14553,-12194,15718,-13348,-11040,3122,-39081,10015,-12818,-2882,7135,-12776
1095,-16751,2720,-3337,-83987,62062,12034,-52840,64958,-17882,-72373,54886,33790,-42256,22198,-29034,-15132,21451,13464,-24199,33733,-27392,-35596,18218,7343,-270,23834,-15300,-29081,-1656,-9919,-8808,7650,-6051,-21743,37396,17274,31104,9865,-3287,-23033,25542,11908,3728,-11087,-10127,7103,17324,-2665,-9451,19881,-8201,13883,27293,18185,-25096,27181,-23281,6934,55664,3814,-24334,48791,-43463,-11844,50925,-25459,-39038,61453,-25735,-7137,11976,-8117,-42573,6770,-31272,-277,-9680,-45879,-29152,14476,-23010,-17260,2322,-22502,-17700,-8673,3664,-21734,-3065,-20813,-31562,22734,-14536,-1537,8807,-18837
1096,-17608,10743,-4639,-135184,-8155,-39518,-34081,1202,9042,-172373,-2730,-15727,-35137,3348,-12617,-84304,16120,-20686,-4026,13642,-20087,-46376,41031,863,13813,16227,9443,-9592,40304,-16585,32150,12622,-11658,-6378,-10373,-5648,-9778,1093,3888,-10511,11635,-9590,-14530,-2668,14386,-49095,4623,-19516,-7833,-2839,-2095,-30803,11323,-8845,-39975,-4899,9729,6777,8976,7776,-36286,-10799,-12334,-23707,-15768,-691,-8105,4319,-24121,-13733,6008,-1289,-11562,4671,-16379,1505,14830,14392,-40267,7269,3740,-1154,-8329,-1665,23240,7434,-27656,10190,16711,-14964,-47975,16250,-14584,-5612,23243,-5763
1097,-14289,-26065,3236,-17701,11159,11523,-24671,-34054,43246,-8008,-24848,14371,-13229,-43141,31101,-32443,-38070,37739,-860,-15905,-2068,-19270,-20822,29816,-57519,-12732,19383,-22914,-23411,13110,-28206,-57585,14252,-39411,-59183,30360,-35689,-33244,-1772,-21871,-46761,13622,-16408,-38258,3115,-30283,-13286,2717,7835,-31563,-5655,-9787,-11212,-1577,-28862,-4207,15550,-19868,-21425,-34696,-6543,-30733,-5791,-21352,2371,20289,-9078,-20766,-23838,-14156,7258,-1575,-107448,23761,-54170,-30259,-31145,17556,-25778,-8925,-8191,-11836,6330,14833,-36544,14100,-735,-3984,-7155,23688,3588,-19396,-6675,9535,-12672,-1055
1098,-17379,17184,-12175,-137048,-18332,-21232,-34591,-171,581,-331087,-578,-70950,-75974,-5847,-20191,-319665,80640,-26474,-37008,-25725,13127,-122257,2981,73829,-55142,28743,30986,-69934,-15062,-9461,-20558,25150,-4793,-49203,-2949,-12029,-36712,-720,-4547,-27476,-14285,262,-57502,-11391,3999,-28383,11568,-18103,-7529,7290,-14761,-2751,13429,-297,-23852,-2232,-21322,-26125,-14428,-32903,-11170,19841,-24976,-33084,10004,-39975,-20482,9870,-47141,-5989,32753,-5687,-2216,-4513,-3499,7498,-5770,-9164,17056,35751,-52,22008,2250,-23704,25100,20972,-6950,27273,35254,14657,-7445,29950,-27693,22931,36302,15003
1099,-10321,26476,-17354,-91674,28076,6527,-48615,5782,1657,-82611,40520,-15698,-22211,26848,12399,-33989,15714,1934,10833,42298,-13174,-31429,25663,-4350,-382,41289,2419,-16539,-6816,2127,-25146,11668,13739,-30224,25387,-19364,3206,24627,-30385,2338,4427,-6976,24261,26269,2641,-13696,-628,3114,-14125,2803,13021,22046,25177,14298,4399,-11664,6652,-12716,23718,-23044,-582,15700,7378,6262,-24861,-3974,-2445,-3661,479,-6549,21824,-8224,-22792,3156,-19752,3985,9999,21393,-21774,37119,-34803,4819,5018,7475,7604,15126,936,411,20592,-8176,-18559,-9516,-36050,-21234,15921,-13391
1100,-16368,1248,16332,-35331,21001,6694,-16887,25815,44175,-70601,33773,23331,-19607,-7416,7734,-125105,68878,46422,-10582,34633,28361,-132518,8503,3047,22441,9624,27642,-35609,-11864,6909,-5987,6149,33436,-821,-14867,6425,1273,12992,16764,-6298,10347,4406,3455,3523,17962,-3274,2472,8932,8899,-2336,-7849,25804,17551,9055,25494,27429,-24702,-3546,-467,15044,15459,12537,-2993,24580,2095,-5235,12297,16931,-5425,-3842,657,4174,18318,15391,-6911,8965,59597,27191,18695,12555,2151,-6524,37447,10007,-15822,10182,-792,-2132,12161,11512,10689,9540,-4265,20894,-1268,-1911
1101,-1119,-11123,14270,-450,324,21904,-5245,-7499,3671,-4685,-23382,-10581,-13306,-33837,-15813,12530,-20429,-2715,-29696,-39402,45035,8314,-11715,-179,-28399,-43436,9720,-6259,4283,24681,-15731,-10864,2976,-3919,2969,-4414,-16925,-34681,14978,-3608,-2427,3102,-8877,13199,3305,-9965,-13188,32519,-12283,-9671,-5160,4090,-33742,-5287,-12508,5474,-3881,-11903,-1305,-7890,-1111,-4815,-1495,-20970,17921,8876,-23482,19924,654,-18237,15409,2243,-36983,48224,11577,-41812,13737,-22303,-147108,116210,-13621,-71720,27009,9541,-83595,59494,-45404,-24701,24863,11826,-15758,23133,8048,11941,-30522,-3563
1102,-62291,-22782,1354,-10336,-4006,-9223,-31620,24442,1008,23993,31569,29056,-17836,-5430,18007,11975,16376,17390,-14760,-7261,1143,-10883,6207,-13619,-43251,-4137,-25071,-9437,8672,29744,-26180,2603,-15452,-11792,-10037,-13644,-33480,9447,1931,-42471,-8292,-1753,-34615,14379,11073,385,5173,-15130,-17458,-4975,-11018,-3819,-27723,5325,3229,9752,-22009,2378,20055,-23262,-35810,10429,18311,-36458,8313,8106,10813,-5746,4718,-70761,-10447,-7920,-17967,9113,-9123,-27270,-25364,-11149,-19178,-12585,24497,-26187,-3838,10111,-33744,-23020,2593,-24833,10631,20770,-13295,-2240,11463,-24026,-21268,9931
1103,-29001,-10641,-21339,-1654,-6655,-1758,-10433,26816,-4638,-8419,-4260,3727,-14946,33895,9034,-5139,-3946,10370,-16569,-22128,9706,-32083,-18999,48,-36209,28057,509,2935,-3316,-4459,-6297,-9380,-8275,5248,1095,14696,-20812,-6378,5555,-27431,5107,-16968,-30969,5033,5875,-8645,24985,-18634,-15268,6190,8655,-2101,27071,16107,-18836,17230,5310,17885,5067,5013,2329,4999,14898,15301,7926,12687,16930,21222,5114,-46860,-23011,-20210,6896,36536,33972,57,-12785,11730,-23496,29589,-9205,-23757,-2164,-13327,-15625,31315,-13324,-11113,11347,-8420,-32488,12817,9598,-21893,17268,16797
1104,11787,1461,-7554,-98050,11425,-39174,-11209,37027,-19020,-143553,28921,-30586,-3027,34585,16860,-206502,54018,-2946,-2325,14133,4577,-110521,71925,15363,9846,14253,9372,-46760,29559,9737,2058,-5191,19915,-5774,42071,-27787,11951,17562,-26900,-18907,15133,-8127,10796,41580,-29622,3078,9234,-8467,3911,24581,-5918,-3594,-17452,-45252,-431,31431,-9605,-3345,17497,7484,-26318,11672,-5822,18965,17482,-15924,-5744,48436,-6360,25543,-4867,10812,38405,9334,16845,12904,21715,-3314,-10322,6958,1164,16131,5494,8281,3832,24007,-12711,-9610,21221,19100,11067,36531,37648,2628,-7946,-5702
1105,-5492,29156,-6334,35202,36255,-4291,-4184,27756,17862,17907,27743,6467,-20111,37254,25329,13339,12645,21639,-4384,6752,20914,-22795,18345,13686,-25600,37425,10635,19097,7478,21948,-9800,45648,26973,-17435,15246,11222,-12563,26167,11135,992,28419,-303,-24157,4274,1641,11974,3876,-4952,-6346,52760,23060,-22594,38066,-7209,-27479,10082,6186,-11686,15195,-6507,-1307,8115,28817,-3404,19460,15229,-9219,30479,30384,-23507,20046,-5917,-49825,53867,5563,-71042,51057,-4722,-152577,129005,-48050,-49878,65531,-17820,-73881,66907,-29433,-27234,360,-12119,-6027,47577,-4766,-16864,10931,-27947
1106,-11230,-16268,11919,-30452,-19944,16247,-49465,-26938,14342,-21200,-6983,46078,-21885,1692,37608,10514,-31413,21636,-9380,-56445,27227,-14357,-12746,11124,-10571,-39528,9337,-20602,-2688,-9820,-32412,8102,24386,-18217,-13734,20102,-28783,-20025,30644,-14989,-18164,24666,-31625,-16420,19305,-32207,-6708,27903,-4491,11319,-366,5397,-39349,31020,33311,-2322,-5194,-4146,-9236,-5488,21775,-29545,6728,-26096,-23378,-25379,-1648,8238,-18480,2915,-30754,-3071,-90393,15021,-69987,-7697,-52978,2647,12879,-23126,-12715,3571,-26583,5992,-14246,-26797,-3202,-16221,-6217,5570,5572,-12594,15220,-11957,-4596,10658
1107,10727,-12760,14519,2793,-10713,30790,23897,-30917,8448,1474,-15078,7254,-17984,3483,8683,5224,-9941,18433,-15304,-13628,1082,24642,-43261,22328,5640,5584,17812,2710,-28749,-19772,-3913,9263,34375,-7309,2349,-40344,7336,12915,491,-41502,-16719,-11636,-35303,11871,15016,-39373,-6483,-19452,-38360,16205,5474,-77102,-13786,3016,-60849,34319,-22781,-77366,-17631,-51288,-58856,5370,-20906,-45993,-9204,19551,-74720,8913,-21746,-16359,-23377,10784,-62774,9946,-7054,-29748,-5389,36479,-41320,-23568,12908,-23111,-28943,3842,380,32650,16867,-4333,10732,17187,48633,-20091,36368,12187,17810,25833
1108,5596,-27784,16115,4348,-26678,28376,-7571,-44289,-13766,-12047,-15816,1936,-8128,4050,12062,160,-17649,-6432,-16189,-5328,6128,-395,-57957,8158,6589,-5673,6658,-15934,-21895,-2014,1358,8802,2355,-12571,16470,-26974,10327,10089,-16939,-47189,15780,-2261,-15697,20001,20084,-38917,12925,-5703,-18140,28413,6433,-76255,35291,2040,-21688,57883,6235,-68820,31961,6210,-42539,41425,-321,-38025,17113,21120,-35959,46485,42158,-17552,-19299,15800,-33251,40634,27885,-21069,2026,20880,-54841,11238,-14860,-34370,-8889,-16610,21746,20358,-76,-296,11445,-8966,22577,-43702,-34224,23702,1349,850
1109,-6590,8539,22841,19766,-5181,28734,17769,34770,1740,23182,-14112,8923,1271,12340,26396,-3449,8330,53334,-17662,19714,26628,31788,25011,61736,16708,54165,-4568,39562,49421,12159,-10378,36591,2514,42131,24419,-950,-15976,30161,4098,45678,37243,15455,31873,10364,-6278,5541,3431,-3524,14105,3094,20172,-7159,29264,-10484,21240,17053,3349,-3818,-4560,-6008,24770,-17735,-4350,3297,7567,-4322,-2634,32073,10235,-18778,23636,10735,-54330,42711,4179,-38020,-12053,1489,-133670,133663,-3437,-67259,40897,-25534,-101058,75235,-17148,-17750,42218,-2011,-9158,30710,15251,-2728,12439,33619
1110,-6052,-1763,-2338,-18753,17264,-28398,-29106,13635,-21671,-49268,2510,-43671,-23208,41797,-24536,-31277,11203,-19666,-37,18239,-28891,-30467,6221,6187,-5741,-7708,-3706,-5852,17443,14322,5947,36122,14663,2587,49520,-12305,-125639,120719,-32766,-36205,70504,-893,-99349,87758,-50023,-12973,47688,-29391,-1908,26641,-19207,10160,23143,-18884,-19077,37037,-7048,-5793,979,-12918,16276,20110,-41336,-6588,-10073,-12097,10531,8117,-9645,6533,-8792,3576,-14947,14004,-29225,-16732,40925,-18834,-17668,41220,-14557,2043,41692,-19564,-23649,-8423,1084,722,35838,-3349,-16817,7879,23380,-11472,10403,-10698
1111,-6846,11272,-7034,-45412,25458,-39312,-22624,2853,-9382,-15026,22638,8972,-18583,37390,-6692,-30983,3504,-5791,-6814,22420,3782,-22577,21457,-29280,-15073,45673,-7985,-31766,34665,-13145,-12600,30814,-21971,-9145,43757,8674,-12920,41383,58,-29938,33260,-15353,-45387,42290,4060,-32607,38220,-21807,-62568,19632,7014,-4504,-6765,-9249,-24541,6574,-10103,22207,16355,-8970,949,-733,-18163,24211,8110,-14277,-22942,3882,-15697,13287,-4863,2803,21809,12105,-17295,-18742,-16843,-5260,7485,-34374,-18104,26229,-32810,-6681,-21652,5858,-15958,-12616,7147,-13415,1327,-20034,-13396,1374,26037,10017
1112,-10998,6364,-3222,-3512,27330,2460,-43656,91880,-19423,-5100,-25083,-2318,-17165,20844,-33562,31639,-32104,-38619,19700,-34978,-10775,50801,-65763,-18401,28981,-54904,7403,9798,-56370,-2115,15417,-45234,7584,47406,-5778,48939,45658,-39307,-14914,44357,19236,30838,40409,26312,3034,40397,-5245,13021,67489,7938,9785,46643,33314,20681,46913,16684,13687,50138,32112,-237,15660,26047,3446,43866,15816,-10048,6094,-506,24891,6649,-1040,7102,8614,-8699,-9110,2196,16425,20359,-14775,-10796,12027,10866,12846,2055,33714,-2360,27693,1346,-2350,10805,9152,-11576,4137,19984,-10076,23131
1113,-14509,-136,21028,-51302,-32472,23350,-76992,-19345,34428,-28567,7406,-14676,-17890,-27648,30878,-21460,-24125,-5247,-7082,19217,10063,5231,-21038,-7142,6226,29608,-9826,25958,-7962,-6112,33629,37178,8989,18047,19852,15228,-112922,137123,-31663,-13678,30813,6962,-126911,137139,-8112,-16343,44546,22494,-44788,71488,31075,-10840,-18278,40453,-19632,10911,29920,-27205,-14035,20426,-11836,-9640,11454,-25625,-5897,23492,18167,-33155,-1094,9004,10964,17866,-9852,-15938,6175,-4315,-18610,6796,-10149,7847,12930,-17053,-6513,18936,-14122,-13735,32899,-13150,4416,-9364,2050,25649,8305,19521,-21417,4030
1114,9907,13906,-12535,10987,8444,20567,-9550,18706,-41885,17414,38837,11637,18559,20784,-5217,18583,41589,18480,-13319,20324,-5204,1600,14418,56508,2561,22574,12971,-44198,31338,-14733,-12932,-6474,-14872,-24515,5796,-26739,-382,8978,-35383,9734,7324,-10407,-5007,2996,7677,-39146,-8232,13559,-28325,-17818,12878,-21071,11755,-4851,-28185,-53868,-21087,-4245,-10184,-3756,18036,-52862,-15742,-17888,-30234,38378,-6272,-7876,11557,-10196,12121,-9262,-46632,63306,5724,-36999,41059,-19595,-128036,120148,-30453,-68278,57865,-9483,-88563,55748,-42811,-27258,12433,-30906,-43487,-18299,-12179,-22224,-3818,-19675
1115,-4405,-12412,8816,7896,-43179,-6664,-24240,-5449,-4732,-2938,3622,18595,-25661,24809,3625,7450,13597,18496,494,22146,5559,24476,19004,3668,-1321,14536,-38017,19943,7388,-5899,-1724,-16561,-45055,-7861,11169,2557,-128185,102986,-43312,-35078,49394,-23252,-128456,102876,-47963,-66190,33867,-5343,-31080,33769,6568,-16882,-8155,-19763,-15058,-7684,1143,-30160,-24105,-9779,-26626,-31070,9809,10053,-12599,2576,-26175,-10889,27076,-1637,-3168,9791,-17968,9759,-11431,-7082,8963,4559,16463,3947,-21621,-2503,4031,14672,-7209,-23968,-19473,15888,-4960,24283,-14636,-948,-6729,-26063,-3287,7392
1116,-17069,-2498,15640,10256,-18678,-6505,2225,-44174,22951,16964,-21508,-3,-8701,-19414,29337,-12479,-27037,-16153,-16679,-22078,8806,-23483,-24753,-9441,-37722,-11554,9814,-29713,-31888,-10236,-29271,-16769,-13911,-21040,7276,-37922,-38810,-29102,3009,-10926,23189,1711,-21205,-7880,21312,23985,6224,-31433,8716,43020,-18382,42368,23345,-23541,14426,19622,-7445,38852,40443,8986,12637,31964,-8031,21979,13465,9577,14494,22247,-18604,-18678,43215,5912,-25697,64266,23979,-42559,24580,-4973,-105476,87981,-36151,-19472,27157,-12903,-76587,36005,-45638,-9591,-22043,-30760,11175,-3190,-3883,-3074,6972,-20196
1117,-8585,5447,23701,-9269,-18265,2730,-15639,-44977,19270,-5367,-33337,8798,-22131,-14964,7631,-12094,-31360,43021,-23849,-7385,3663,-25773,-18012,33052,-39803,16394,8299,-49374,-1914,-2125,-32246,1162,-4061,-28759,33503,-42059,-39385,-2250,17527,7352,27432,-2001,-5514,-5944,26652,17835,-4638,-16869,31777,31928,-14065,51212,-12115,-498,30825,5786,7723,60316,-325,4253,32630,13615,-2433,22625,-2927,-13413,18232,16409,-21502,19287,41212,20804,37401,54672,35992,-256,42434,46696,18779,116414,87221,19969,25239,52244,-807,69633,68513,-25926,673,-17046,8868,-14883,-7743,4474,5463,2933
1118,15563,12514,-16706,21202,13371,5910,57694,8361,-32071,38692,37781,22572,8361,20892,-2878,32092,55764,7214,16349,14306,-17672,51297,63456,14471,3024,5934,-8782,54805,30917,8840,44188,98,30430,23118,16259,65458,-7413,25713,29707,-37456,-4205,21749,-19843,26568,25832,-54513,16915,34665,-93933,55694,12934,-89905,35834,13216,-67974,21001,-26244,-50591,25820,7972,-5166,-20805,19874,-18744,31855,-13716,-33194,152,-10839,-18417,13470,9089,-13601,-9073,-146,-37057,26512,-270,-8725,6321,20730,-20689,24551,4170,1029,-16332,8391,-7502,-4611,-9298,17495,20456,3742,-10901,10144,15550
1119,4011,-64826,1894,-16831,-19496,-11080,-50139,-121423,14466,1901,-81223,3329,-66798,-168768,-1716,21662,-59145,-18786,-30987,-106880,-26314,2874,-28274,-24325,-29044,-14379,-35543,-26548,-11106,-45324,-4102,-18053,13800,-30964,-8688,-41845,-1632,-17384,-21379,-28855,-1549,-30360,-57056,-21740,-17660,-23990,-21257,-248,-139038,16931,-26477,-33232,-40131,-573,-77138,-2116,-22264,-40640,-47575,-21386,-14155,-7991,2429,-29440,-6140,7864,-12570,1469,-15560,-11043,-26131,-2587,-6866,10260,-5906,-1424,-23163,-4974,-16096,-22476,1513,-19284,-23858,12477,-122,-19485,-17675,15889,1743,-8580,-6078,-24232,-6133,-5424,-7160,-19983
1120,-67829,-4123,-5978,-23429,21898,6680,-146983,40960,-8955,-76505,-12079,600,-191034,50571,11527,-49598,-14518,-2876,-119036,25567,12016,-23692,6412,5310,-22483,47702,1137,-9636,45314,11287,-21680,-953,-1536,-8460,33322,28615,-18554,4896,8609,393,28866,30445,-27837,47214,33530,-21516,3643,22717,-2943,103902,83431,-39814,15165,22017,-11174,65812,44955,-47318,29448,32768,-7536,-4691,28294,-11970,19241,20082,3036,7743,22020,-31371,18616,-1292,4217,25162,-12167,-17957,-3846,9463,-19504,-1016,16018,-28426,7909,1752,-12982,4488,8716,5702,-3754,-5727,-28380,15294,-7507,-3173,11935,5129
1121,19,-9057,4175,-1373,32123,35660,-28191,36165,39004,-2110,38645,30523,-92705,46558,4749,7127,25187,13510,-83356,64501,-9518,2176,8506,42845,-24781,31628,-6701,25412,4976,10779,-35176,29290,-78,25966,-1084,30945,18264,31101,49065,-12257,18411,-5010,25994,22020,3666,18283,-3871,17387,1146,22812,14119,27089,-10679,15804,8156,9024,25939,-830,-2711,18653,-5424,-1576,16900,-844,-20007,5041,-13883,273,26181,5934,2505,11418,26431,-5831,13797,41211,-6535,8867,-12736,-25608,-12690,-10054,2233,12965,3176,24817,-14676,15538,18611,-18005,25400,25076,-3852,21204,28676,-1998
1122,-15807,20097,3075,-107118,51840,-44161,-50936,31237,11022,-104988,41445,-15521,-41631,481,-26158,-49849,25824,-20445,-4032,24570,-21391,-12419,-4229,-32374,21968,4600,2652,19511,13551,-8672,12508,-41504,12151,5704,-22374,3463,-8412,-18868,6486,3688,5659,4093,27631,6752,-7606,-1220,1364,-655,18499,8959,-20613,13166,-3181,4454,30640,-11850,-18021,3252,-23513,16748,44795,-28643,-23042,-13868,-5754,-4872,15282,-21445,-9087,9763,-3576,1974,24846,472,-5343,6814,4153,6927,8049,-29754,-3935,36699,-10765,17827,-1390,-19349,-1381,15449,-17147,13794,9671,-5831,19478,-12758,1423,1755
1123,-28202,-20716,-5642,-9770,-17696,3367,-946,-56112,26870,-26552,-40558,-5887,-22086,-9519,22609,-1586,-28597,309,-25670,14964,33686,-32908,-32079,-6945,-15766,-18244,14262,-35856,7940,10529,-5687,36837,-5935,-39625,7240,-15440,-21697,5701,19206,-20979,-17702,-2089,-31249,-23091,15349,-12552,27286,17774,-34100,-5744,-3597,-20962,14296,4299,-44801,9531,13808,-10445,21280,13835,5636,-13041,-15387,-20234,35858,7194,-15945,-16526,-24947,-49189,4106,-4214,-31657,-14169,-1927,-18448,-11115,17587,-16046,-56287,-2881,7854,7547,8766,1396,-24521,50934,-46758,5941,27072,-24157,48415,25409,-16371,10820,8268
1124,-33496,11379,-5710,-9292,36815,-31947,-87099,41450,-27011,-17805,15737,-36263,-68768,5225,-879,-20665,-8799,-30411,4650,-281,4489,13524,-33823,-16838,22073,6992,1150,18070,-46464,24346,21075,-33969,6863,673,-62386,19289,20291,-2958,2247,1686,-62525,-29690,26459,3623,3583,-5152,-56932,-7780,6102,-42147,-4403,-2898,-10181,-5390,27529,-39419,-2907,18776,-11526,-12760,-621,-1169,-17681,-35565,-4411,-15192,-975,-38592,-42566,-8197,-30282,14425,-22452,-80794,-35189,6052,-58927,2360,-13449,-110629,54543,-11977,-59021,28742,-18658,-40604,25198,-31286,-59330,4114,-43508,-60220,226,-21446,8031,3955
1125,14286,25389,6609,46993,-8413,19887,53127,43713,33795,27447,15292,24621,6416,42551,19168,-2043,17901,25624,-5812,-7361,-2951,-29568,-7802,14978,577,2875,-17455,-59686,-4705,-12246,-38583,-9836,1820,-68854,15733,-4557,-3874,-36404,16439,-62526,37527,11635,-5455,-22533,-7633,-53764,14807,12925,-44149,-19810,25629,-15582,26490,-9478,-39232,-13563,5422,-14997,8352,-13279,1163,18837,8909,3115,28858,29217,-33188,23344,26832,-34211,18983,-6215,-71088,62620,37474,-74843,65000,-36869,-145448,91422,-63783,-80705,65445,-38492,-69703,75249,-65912,-69599,75907,-23404,-62304,51430,14470,5602,29118,-10643
1126,-14855,18771,4794,7229,31125,-46885,-3588,-4511,-3744,15017,2215,-8770,-39573,24900,3370,-18216,-4586,19413,-20709,775,15802,-24186,-8792,10282,-32111,11670,-4155,-43403,-9238,14050,-51201,-9163,-20122,-93984,-5495,1434,-192,-29155,-6203,-28086,-25688,14991,-20838,-1114,18896,-10618,-14121,25484,-20315,-4887,13448,-18335,16024,11418,-24848,37193,10561,-23902,43918,9820,-29196,31954,-4285,-51944,25442,6144,-53520,51659,3704,-41647,28484,16232,-14699,-8338,-1720,-886,17435,2338,-41301,-25764,43482,-27272,17798,5658,-18100,5696,17791,-13686,27795,15967,-5615,18171,-4087,-12279,21146,11664
1127,9327,12894,-9718,30496,37903,-37112,76417,20616,-13600,2178,3986,-14160,50248,3237,-30787,-3682,2938,-31276,54121,-7223,4660,19301,-30404,8315,29273,-10841,6597,2525,-23021,38309,18065,-56908,5379,-20248,-47094,18969,-12687,-40924,1046,-9245,-22578,29215,-25844,-25174,7266,6195,6507,31777,-126649,1726,-5151,-1015,-1839,39048,-48496,11132,-4155,-23,626,28580,-29085,9461,16094,13592,28215,24884,5044,-11628,3450,-2305,6994,-3263,674,-16883,18453,-6305,6025,38775,-4164,-4576,-14262,15745,3273,-14359,-15946,-24674,-10364,-25210,14280,-2290,27287,5201,-27713,-24932,-9204,-15568
1128,-65375,-9733,-23254,-48764,-24542,-8937,-177529,7978,-3337,-51641,-19163,2094,-161361,27146,-16736,-44559,-12102,-31624,-122077,8250,21541,-529,7767,22607,-61566,27411,17922,-2634,24408,18048,-30480,36043,13050,8979,51004,-12851,-9193,53300,-13596,12891,45988,12109,-23638,45303,-22814,-14874,31802,-13444,21669,40863,-88456,-26592,53543,-1960,7690,32549,-59057,-18862,46748,-3881,-16817,10005,-30178,-33002,630,2767,-23898,37947,-12728,-20859,-1948,-15458,-18456,34659,-4919,-25419,33083,-26615,-13218,-4831,-22472,-11721,5154,-13935,10664,12485,-24156,9341,-6796,-27812,-21223,-1198,-6926,-296,-4642,-34091
1129,-18763,-13336,-9382,-74691,32854,-5203,-41120,156,-10339,-67904,32096,1688,-13304,-17875,18431,-51012,27831,27384,22582,-11664,23791,-9843,11866,13113,6171,24453,32345,-1808,1937,-736,29349,-3257,-4170,617,37835,36415,15913,30542,19181,1795,9076,27551,-2137,10124,-4225,-15001,13201,-10607,18230,11967,5126,-29800,7137,-441,-1268,730,16875,25458,16251,-1118,21341,16870,-12299,24389,-40,-17764,12598,6044,-11296,-5637,-2653,4265,26093,18164,18273,-25638,-24429,1857,17288,6779,2712,6848,31491,5661,-2049,12290,9773,-20499,9802,10858,26772,17692,2585,35182,-2814,25692
1131,-19461,13302,-3234,-101666,75910,8128,12573,3293,-8590,-115007,3683,-18461,-2970,5986,-34183,-73087,17805,-3339,-22233,257,-28484,-36184,49314,-15880,-7299,39277,-22178,-62954,24614,-17366,9655,10567,-10949,-86289,50733,-25201,7930,-23538,-4234,-69078,4096,-4803,-29157,-7707,9051,-580,-31784,22561,9137,-25628,-11804,37047,-34096,11777,15202,-15462,4610,37415,-44609,-16749,-21302,-10171,-877,16414,-15104,853,-38244,-15653,-23147,-10352,-11624,-656,-41768,-41255,-3313,-60535,10625,-14462,-14008,-35017,-575,-14395,1166,-7202,27281,27385,-17234,-24794,-15570,-9285,-2950,38073,-159,-2687,16689,2583
1132,-8742,20398,14139,-58010,110600,19970,21526,-8824,28542,-107582,58230,4908,-759,10882,-11292,-54752,45207,13191,-20837,16025,-10924,-19132,68807,-17845,8647,44760,-12573,-43744,54094,17104,11541,7106,-20953,-50768,81364,25747,-5733,-24605,-13546,-59703,35163,30404,-30262,5739,24568,-12707,-31743,31009,2119,-29362,14764,14643,-46332,-9610,8534,-20185,8822,12285,-53711,-16705,-19059,-256,28793,12608,-25501,8169,-39765,3714,2366,-13148,-6435,5830,-55084,-17444,9477,-50481,38181,-4327,-29115,-22416,49,-14010,7423,-1113,38348,11087,-3957,-31956,-3736,-12536,19069,30938,18181,9031,13351,24719
1133,12889,13434,-14714,22289,-16466,-30023,33971,21868,-58528,26722,-4182,17546,39610,-15288,-29355,18133,7008,43602,26561,11612,-27315,1569,60537,40110,38675,44089,2806,-6367,39317,-9336,23838,26870,-42070,-9039,15180,-23396,-75643,140222,-80549,8506,79972,-27975,-57125,109740,-41886,15761,44694,-29632,24865,40955,-20368,10890,7330,-29244,16567,11291,13779,32866,29581,-2676,25624,11524,-24696,35277,-29201,-11077,1370,-52049,-26902,-18517,9580,-7617,-4286,-57628,-16156,18916,33403,-37620,-22235,20681,26434,-15442,21786,17937,-42690,10179,-8655,-29805,51291,2859,-42594,22857,29274,6722,29904,11767
1134,26479,-8275,3286,30096,-33998,-17263,45440,-22896,-38194,28028,-47674,-42479,62980,-29782,-25333,16433,-46971,-28118,-1465,22783,15719,-45329,23465,1420,50819,10053,9639,-65351,39222,6273,7734,20292,177,-76470,42595,-2174,-12971,24359,29155,-66467,53658,-495,-2511,-8938,5517,-34955,55164,-8789,-1607,35603,40819,-26576,27182,-2143,35119,-28088,23764,69978,42116,-31805,27698,9069,8821,39334,20098,21656,8489,5579,-11431,-990,-8736,12718,-2514,-7520,4970,-32606,-17083,1644,-9930,-6076,-621,-10321,737,7146,-24856,-16167,26179,-19651,-15732,5426,-34283,-59410,39861,-13857,-6618,31818
